name	number of contigs	largest contig length	GC (%)	N50	L50	wuhCor1 match (%)	coverage
10_S51	1	29914	37.98%	29914	1	99.977%	100x
11_S36	1	29903	37.99%	29903	1	100.000%	100x
13_S24	1	29921	37.99%	29921	1	99.977%	100x
14_S25	2	29914	38.03%	29914	1	99.977%	100x
16_S45	1	29924	38.01%	29924	1	99.769%	100x
17_S3	1	29903	37.95%	29903	1	100.000%	100x
19_S4	1	29903	37.97%	29903	1	100.000%	100x
1_S1	1	29951	37.99%	29951	1	99.906%	100x
20_S26	1	29909	38.03%	29909	1	99.706%	100x
21_S37	1	29893	38.04%	29893	1	99.709%	100x
22_S30	1	29914	37.98%	29914	1	99.977%	100x
23_S38	1	29842	38.02%	29842	1	99.528%	100x
25_S5	1	29918	37.99%	29918	1	99.900%	100x
26_S39	1	29903	37.97%	29903	1	100.000%	100x
28_S6	1	29913	37.97%	29913	1	99.977%	100x
29_S31	1	29928	37.99%	29928	1	99.977%	100x
2_S29	1	29926	37.94%	29926	1	99.963%	100x
30_S47	1	29903	37.96%	29903	1	100.000%	100x
31_S27	1	29914	37.96%	29914	1	99.977%	100x
32_S7	1	29951	38.03%	29951	1	99.773%	100x
34_S50	1	29913	37.97%	29913	1	99.977%	100x
35_S32	1	29949	38.03%	29949	1	99.876%	100x
36_S8	1	29914	37.97%	29914	1	99.977%	100x
37_S43	1	29914	37.97%	29914	1	99.977%	100x
39_S35	2	29903	38.00%	29903	1	100.000%	100x
3_S22	1	29934	37.96%	29934	1	99.977%	100x
41_S19	1	29934	38.02%	29934	1	99.953%	100x
43_S9	1	29952	38.01%	29952	1	99.829%	100x
44_S11	1	29914	37.97%	29914	1	99.977%	100x
45_S48	1	29932	38.02%	29932	1	99.977%	100x
46_S20	1	29933	37.95%	29933	1	99.977%	100x
48_S12	1	29902	37.96%	29902	1	100.000%	100x
4_S23	1	29950	37.98%	29950	1	99.843%	100x
50_S40	1	29959	37.97%	29959	1	99.977%	100x
51_S34	1	29914	37.97%	29914	1	99.977%	100x
52_S41	1	29903	37.96%	29903	1	100.000%	100x
55_S13	1	29933	38.00%	29933	1	99.970%	100x
56_S14	1	29914	37.96%	29914	1	99.977%	100x
57_S15	1	30135	37.82%	30135	1	99.977%	100x
59_S49	1	29935	38.00%	29935	1	99.970%	100x
5_S2	1	29931	38.02%	29931	1	99.722%	100x
60_S10	1	29903	37.96%	29903	1	100.000%	100x
61_S21	1	29913	37.95%	29913	1	99.900%	100x
62_S44	1	29914	37.97%	29914	1	99.977%	100x
65_S33	1	29912	37.98%	29912	1	99.977%	100x
66_S52	1	29935	37.97%	29935	1	99.977%	100x
67_S53	1	29903	37.97%	29903	1	100.000%	100x
68_S18	1	29914	37.98%	29914	1	99.977%	100x
6_S46	1	29929	37.96%	29929	1	99.977%	100x
71_S16	1	29903	37.96%	29903	1	100.000%	100x
72_S28	1	29946	38.02%	29946	1	99.763%	100x
73_S17	1	29914	37.96%	29914	1	99.977%	100x
74_S54	1	29903	37.96%	29903	1	100.000%	100x
75_S55	1	29903	37.99%	29903	1	100.000%	100x
76_S56	1	29904	37.96%	29904	1	99.977%	100x
77_S57	1	29904	37.97%	29904	1	99.977%	100x
78_S58	1	29947	37.99%	29947	1	99.759%	100x
79_S59	1	30039	37.85%	30039	1	100.000%	100x
7_S42	1	29903	37.96%	29903	1	100.000%	100x
9_S69	1	29903	37.97%	29903	1	100.000%	100x
AL10_S65	1	29914	37.98%	29914	1	99.977%	100x
AL11_S66	1	29914	37.97%	29914	1	99.977%	100x
AL14_S67	1	29903	37.97%	29903	1	100.000%	100x
AL15_S68	1	29903	37.96%	29903	1	100.000%	100x
AL1_S60	1	29914	37.98%	29914	1	99.977%	100x
AL3_S61	1	29903	37.96%	29903	1	100.000%	100x
AL5_S62	1	29903	37.96%	29903	1	100.000%	100x
AL8_S63	1	29903	37.96%	29903	1	100.000%	100x
AL9_S64	1	29914	37.97%	29914	1	99.977%	100x
C8-20_S83	1	29903	37.97%	29903	1	100.000%	100x
C8-3_S78	1	29913	37.98%	29913	1	99.977%	100x
C8-4_S82	1	29914	37.98%	29914	1	99.977%	100x
L11_S71	1	29939	38.02%	29939	1	99.749%	100x
L13_S72	1	29903	37.95%	29903	1	100.000%	100x
L14_S76	1	29903	37.96%	29903	1	100.000%	100x
L15_S74	1	29903	37.96%	29903	1	100.000%	100x
L22_S70	1	29934	37.97%	29934	1	99.977%	100x
L24_S77	1	29913	37.98%	29913	1	99.977%	100x
L25_S84	1	29914	37.98%	29914	1	99.977%	100x
L31_S79	1	29903	37.96%	29903	1	100.000%	100x
L32_S80	1	29903	37.97%	29903	1	100.000%	100x
L34_S75	1	29912	37.96%	29912	1	99.977%	100x
L40_S81	2	15621	37.96%	15621	1	99.977%	100x
L41_S85	1	29903	37.96%	29903	1	100.000%	100x
L8_S73	1	29905	37.96%	29905	1	100.000%	100x
