name	number of contigs	largest contig length	GC (%)	N50	L50	wuhCor1 match (%)	
10_S51	1	29868	38.00%	29868	1	99.883%
11_S36	4	15194	37.98%	15194	1	99.385%
13_S24	2	15479	38.02%	15479	1	99.512%
14_S25	2	22663	38.03%	22663	1	99.883%
16_S45	2	24680	37.99%	24680	1	99.843%
17_S3	6	18111	38.00%	18111	1	99.442%
19_S4	20	2794	38.24%	1424	7	87.911%
1_S1	2	27432	37.97%	27432	1	99.906%
20_S26	1	29868	38.01%	29868	1	99.883%
21_S37	1	29868	38.01%	29868	1	99.883%
22_S30	1	29868	38.01%	29868	1	99.883%
23_S38	1	29868	38.01%	29868	1	99.883%
25_S5	1	29869	38.01%	29869	1	99.886%
26_S39	2	15648	38.01%	15648	1	99.880%
28_S6	1	29876	38.00%	29876	1	99.890%
29_S31	2	25911	37.99%	25911	1	99.883%
2_S29	1	29868	38.01%	29868	1	99.883%
30_S47	1	29868	38.00%	29868	1	99.883%
31_S27	1	29868	37.99%	29868	1	99.883%
32_S7	1	29868	38.01%	29868	1	99.883%
34_S50	5	10486	38.06%	9622	2	99.753%
35_S32	2	28983	38.03%	28983	1	99.883%
36_S8	2	24858	38.01%	24858	1	99.846%
37_S43	2	27585	38.01%	27585	1	99.883%
39_S35	8	9371	38.00%	7795	2	96.365%
3_S22	2	17291	38.00%	17291	1	99.870%
41_S19	1	29868	38.00%	29868	1	99.883%
43_S9	2	20878	37.97%	20878	1	99.883%
44_S11	1	29868	38.00%	29868	1	99.883%
45_S48	1	29904	38.05%	29904	1	99.883%
46_S20	1	29868	38.00%	29868	1	99.883%
48_S12	1	29869	38.00%	29869	1	99.886%
4_S23	1	29913	37.99%	29913	1	99.843%
50_S40	2	25266	38.00%	25266	1	99.883%
51_S34	1	29868	38.00%	29868	1	99.883%
52_S41	4	15213	37.98%	15213	1	99.883%
55_S13	1	30045	37.99%	30045	1	99.883%
56_S14	1	29896	37.99%	29896	1	99.833%
57_S15	2	25986	37.98%	25986	1	99.883%
59_S49	1	29767	38.02%	29767	1	99.545%
5_S2	1	29869	38.00%	29869	1	99.883%
60_S10	1	29868	38.01%	29868	1	99.883%
61_S21	3	14185	37.99%	8547	2	99.813%
62_S44	1	30052	37.97%	30052	1	99.886%
65_S33	1	29868	38.01%	29868	1	99.883%
66_S52	1	29868	38.00%	29868	1	99.883%
67_S53	3	15312	38.01%	15312	1	99.488%
68_S18	5	11586	37.99%	10909	2	99.030%
6_S46	1	29868	38.01%	29868	1	99.883%
71_S16	3	11871	38.01%	10886	2	99.796%
72_S28	1	29869	38.00%	29869	1	99.886%
73_S17	1	29874	38.00%	29874	1	99.883%
74_S54	1	29868	38.00%	29868	1	99.883%
75_S55	13	5176	38.09%	3070	4	97.619%
76_S56	8	8826	38.03%	7670	2	97.662%
77_S57	1	29859	38.00%	29859	1	99.883%
78_S58	1	29868	38.00%	29868	1	99.883%
79_S59	7	9262	38.05%	6190	2	97.736%
7_S42	1	29873	38.00%	29873	1	99.886%
9_S69	4	14293	38.02%	7185	2	99.649%
AL10_S65	2	26894	37.99%	26894	1	99.883%
AL11_S66	2	22662	38.02%	22662	1	99.813%
AL14_S67	3	22662	38.00%	22662	1	99.813%
AL15_S68	5	9703	38.02%	7185	2	99.311%
AL1_S60	7	7238	37.93%	6442	3	99.468%
AL3_S61	1	29868	38.00%	29868	1	99.883%
AL5_S62	3	22049	38.00%	22049	1	99.843%
AL8_S63	3	22048	37.99%	22048	1	99.843%
AL9_S64	2	24681	38.00%	24681	1	99.846%
C8-20_S83	2	15030	38.00%	15030	1	98.639%
C8-3_S78	3	15058	38.00%	15058	1	99.799%
C8-4_S82	2	14960	38.00%	14960	1	98.646%
L11_S71	1	29868	38.00%	29868	1	99.883%
L13_S72	1	29868	38.00%	29868	1	99.883%
L14_S76	2	15138	37.99%	15138	1	99.829%
L15_S74	2	14960	38.01%	14960	1	99.826%
L22_S70	1	29868	38.02%	29868	1	99.883%
L24_S77	2	15137	38.02%	15137	1	99.532%
L25_S84	5	9350	38.01%	7185	2	98.432%
L31_S79	7	11228	38.00%	8817	2	98.405%
L32_S80	3	15030	37.98%	11916	2	99.816%
L34_S75	2	14960	38.01%	14960	1	99.826%
L40_S81	3	14960	37.99%	14960	1	99.823%
L41_S85	4	14959	38.00%	14959	1	99.722%
L8_S73	1	30045	37.98%	30045	1	99.883%
