name	number of contigs	largest contig length	GC (%)	N50	L50	wuhCor1 match (%)
10_S51	1	29868	38.00%	29868	1	99.883%
11_S36	1	29786	37.98%	29786	1	99.545%
13_S24	1	29757	38.02%	29757	1	99.512%
14_S25	1	30262	38.04%	30262	1	99.883%
16_S45	1	29856	37.99%	29856	1	99.883%
17_S3	1	30446	38.00%	30446	1	99.475%
19_S4	1	30269	37.97%	30269	1	93.074%
1_S1	1	29983	37.97%	29983	1	99.906%
20_S26	1	29868	38.01%	29868	1	99.883%
21_S37	1	29868	38.01%	29868	1	99.883%
22_S30	1	29868	38.01%	29868	1	99.883%
23_S38	1	29868	38.01%	29868	1	99.883%
25_S5	1	29869	38.01%	29869	1	99.886%
26_S39	1	30728	38.02%	30728	1	99.883%
28_S6	1	29876	38.00%	29876	1	99.890%
29_S31	1	29937	37.99%	29937	1	99.883%
2_S29	1	29868	38.01%	29868	1	99.883%
30_S47	1	29868	38.00%	29868	1	99.883%
31_S27	1	29868	37.99%	29868	1	99.883%
32_S7	1	29868	38.01%	29868	1	99.883%
34_S50	1	30529	38.10%	30529	1	99.836%
35_S32	1	30246	38.09%	30246	1	99.883%
36_S8	1	30289	38.04%	30289	1	99.846%
37_S43	1	30368	37.98%	30368	1	99.883%
39_S35	1	29883	38.02%	29883	1	97.311%
3_S22	1	29902	38.00%	29902	1	99.883%
41_S19	1	29868	38.00%	29868	1	99.883%
43_S9	1	30023	37.97%	30023	1	99.883%
44_S11	1	29868	38.00%	29868	1	99.883%
45_S48	1	29904	38.05%	29904	1	99.883%
46_S20	1	29868	38.00%	29868	1	99.883%
48_S12	1	29869	38.00%	29869	1	99.886%
4_S23	1	29913	37.99%	29913	1	99.843%
50_S40	1	29929	38.00%	29929	1	99.883%
51_S34	1	29868	38.00%	29868	1	99.883%
52_S41	1	30230	37.98%	30230	1	99.883%
55_S13	1	30045	37.99%	30045	1	99.883%
56_S14	1	29896	37.99%	29896	1	99.833%
57_S15	1	30012	37.98%	30012	1	99.883%
59_S49	1	29767	38.02%	29767	1	99.545%
5_S2	1	29869	38.00%	29869	1	99.883%
60_S10	1	29868	38.01%	29868	1	99.883%
61_S21	1	29917	37.99%	29917	1	99.883%
62_S44	1	30207	37.93%	30207	1	99.886%
65_S33	1	29868	38.01%	29868	1	99.883%
66_S52	1	29868	38.00%	29868	1	99.883%
67_S53	1	30938	38.04%	30938	1	99.549%
68_S18	1	30413	38.08%	30413	1	99.883%
6_S46	1	29868	38.01%	29868	1	99.883%
71_S16	1	30042	38.01%	30042	1	99.883%
72_S28	1	29869	38.00%	29869	1	99.886%
73_S17	1	29874	38.00%	29874	1	99.883%
74_S54	1	29868	38.00%	29868	1	99.883%
75_S55	1	30348	38.07%	30348	1	99.134%
76_S56	1	30575	38.00%	30575	1	99.512%
77_S57	1	29859	38.00%	29859	1	99.883%
78_S58	1	29868	38.00%	29868	1	99.883%
79_S59	1	30251	38.03%	30251	1	99.064%
7_S42	1	29873	38.00%	29873	1	99.886%
9_S69	1	29898	38.02%	29898	1	99.883%
AL10_S65	1	29936	37.99%	29936	1	99.883%
AL11_S66	1	30024	38.02%	30024	1	99.883%
AL14_S67	1	30016	38.00%	30016	1	99.883%
AL15_S68	1	29904	38.02%	29904	1	99.472%
AL1_S60	1	30061	37.93%	30061	1	99.475%
AL3_S61	1	29868	38.00%	29868	1	99.883%
AL5_S62	1	30026	38.00%	30026	1	99.843%
AL8_S63	1	29925	37.99%	29925	1	99.883%
AL9_S64	1	29857	38.00%	29857	1	99.886%
C8-20_S83	1	30524	38.00%	30524	1	99.883%
C8-3_S78	1	30335	38.03%	30335	1	99.906%
C8-4_S82	1	29917	37.99%	29917	1	99.883%
L11_S71	1	29868	38.00%	29868	1	99.883%
L13_S72	1	29868	38.00%	29868	1	99.883%
L14_S76	1	30284	37.98%	30284	1	99.833%
L15_S74	1	29851	38.01%	29851	1	99.883%
L22_S70	1	29868	38.02%	29868	1	99.883%
L24_S77	1	30495	38.00%	30495	1	99.532%
L25_S84	1	30107	37.96%	30107	1	99.813%
L31_S79	1	31119	38.01%	31119	1	99.773%
L32_S80	1	30561	38.01%	30561	1	99.823%
L34_S75	1	29851	38.01%	29851	1	99.883%
L40_S81	1	30018	37.99%	30018	1	99.886%
L41_S85	1	29920	38.00%	29920	1	99.883%
L8_S73	1	30200	37.95%	30200	1	99.883%
